"tick","UAV-UAV","Manned-Manned","UAV-Manned"
1135.0,240,0,0
1138.0,240,0,0
1141.0,240,0,0
1144.0,240,0,0
1147.0,240,0,0
1150.0,241,0,0
1153.0,241,0,0
1156.0,241,0,0
1159.0,241,0,0
1162.0,242,0,0
1165.0,242,0,0
1168.0,242,0,0
1171.0,242,0,0
1174.0,242,0,0
1177.0,243,0,0
1180.0,243,0,0
1183.0,243,0,0
1186.0,243,0,0
1189.0,244,0,0
1192.0,244,0,0
1195.0,244,0,0
1198.0,244,0,0
1201.0,244,0,0
1204.0,245,0,0
1207.0,245,0,0
1210.0,245,0,0
1213.0,245,0,0
1216.0,246,0,0
1219.0,246,0,0
1222.0,246,0,0
1225.0,246,0,0
1228.0,246,0,0
1231.0,247,0,0
1234.0,247,0,0
1237.0,247,0,0
1240.0,247,0,0
1243.0,247,0,0
1246.0,248,0,0
1249.0,248,0,0
1252.0,248,0,0
1255.0,249,0,0
1258.0,249,0,0
1261.0,249,0,0
1264.0,249,0,0
1267.0,250,0,0
1270.0,250,0,0
1273.0,250,0,0
1276.0,250,0,0
1279.0,251,0,0
1282.0,251,0,0
1285.0,251,0,0
1288.0,252,0,0
1291.0,252,0,0
1294.0,252,0,0
1297.0,252,0,0
1300.0,253,0,0
1303.0,253,0,0
1306.0,253,0,0
1309.0,253,0,0
1312.0,254,0,0
1315.0,254,0,0
1318.0,254,0,0
1321.0,255,0,0
1324.0,255,0,0
1327.0,255,0,0
1330.0,255,0,0
1333.0,256,0,0
1336.0,256,0,0
1339.0,256,0,0
1342.0,256,0,0
1345.0,257,0,0
1348.0,257,0,0
1351.0,257,0,0
1354.0,258,0,0
1357.0,258,0,0
1360.0,258,0,0
1363.0,259,0,0
1366.0,259,0,0
1369.0,259,0,0
1372.0,259,0,0
1375.0,260,0,0
1378.0,260,0,0
1381.0,260,0,0
1384.0,261,0,0
1387.0,261,0,0
1390.0,261,0,0
1393.0,262,0,0
1396.0,262,0,0
1399.0,262,0,0
1402.0,263,0,0
1405.0,263,0,0
1408.0,263,0,0
1411.0,264,0,0
1414.0,264,0,0
1417.0,264,0,0
1420.0,265,0,0
1423.0,265,0,0
1426.0,265,0,0
1429.0,266,0,0
1432.0,266,0,0
1435.0,267,0,0
1438.0,267,0,0
1441.0,267,0,0
1444.0,268,0,0
1447.0,268,0,0
1450.0,269,0,0
1453.0,269,0,0
1456.0,270,0,0
1459.0,270,0,0
1462.0,271,0,0
1465.0,271,0,0
1468.0,271,0,0
1471.0,272,0,0
1474.0,273,0,0
1477.0,273,0,0
1480.0,274,0,0
1483.0,274,0,0
1486.0,275,0,0
1489.0,275,0,0
1492.0,276,0,0
1495.0,277,0,0
1498.0,277,0,0
1501.0,278,0,0
1504.0,279,0,0
1507.0,279,0,0
1510.0,280,0,0
1513.0,281,0,0
1516.0,282,0,0
1519.0,282,0,0
1522.0,283,0,0
1525.0,284,0,0
1528.0,285,0,0
