run,tick,UAV-UAV,Manned-Manned,UAV-Manned,,,,max airproxes,,,,,,,,,,,,,,,,,,
1,1,0,0,0,,,run,U-U,M-M,U-M,UAV layers,,,,run,randomSeed,UAV_LateralMaxSpeedMPS,Manned_VerticalMaxSpeedMPS,Manned_LateralMaxSpeedMPS,Manned_LayersPer360,UAV_VerticalMaxSpeedMPS,Manned_RequiredVerticalSeparationM,Manned_BaseAltitude,UAV_LayersPer360,UAV_BaseAltitude,UAV_RequiredVerticalSeparationM
1,208,177,0,0,,,,,,,,,,,,,,,,,,,,,,
1,211,178,0,0,,,,,,,,,,,,,,,,,,,,,,
1,214,178,0,0,,,,,,,,,,,,,,,,,,,,,,
1,217,178,0,0,,,,,,,,,,,,,,,,,,,,,,
1,220,179,0,0,,,,,,,,,,,,,,,,,,,,,,
1,223,179,0,0,,,,,,,,,,,,,,,,,,,,,,
1,226,179,0,0,,,,,,,,,,,,,,,,,,,,,,
1,229,180,0,0,,,,,,,,,,,,,,,,,,,,,,
1,232,180,0,0,,,,,,,,,,,,,,,,,,,,,,
1,235,180,0,0,,,,,,,,,,,,,,,,,,,,,,
1,238,180,0,0,,,,,,,,,,,,,,,,,,,,,,
1,241,180,0,0,,,,,,,,,,,,,,,,,,,,,,
1,244,180,0,0,,,,,,,,,,,,,,,,,,,,,,
1,247,180,0,0,,,,,,,,,,,,,,,,,,,,,,
1,250,181,0,0,,,,,,,,,,,,,,,,,,,,,,
1,253,181,0,0,,,,,,,,,,,,,,,,,,,,,,
1,256,181,0,0,,,,,,,,,,,,,,,,,,,,,,
1,259,181,0,0,,,,,,,,,,,,,,,,,,,,,,
1,262,181,0,0,,,,,,,,,,,,,,,,,,,,,,
1,265,181,0,0,,,,,,,,,,,,,,,,,,,,,,
1,268,182,0,0,,,,,,,,,,,,,,,,,,,,,,
1,271,182,0,0,,,,,,,,,,,,,,,,,,,,,,
1,274,182,0,0,,,,,,,,,,,,,,,,,,,,,,
1,277,182,0,0,,,,,,,,,,,,,,,,,,,,,,
1,280,182,0,0,,,,,,,,,,,,,,,,,,,,,,
1,283,182,0,0,,,,,,,,,,,,,,,,,,,,,,
1,286,184,0,0,,,,,,,,,,,,,,,,,,,,,,
1,289,184,0,0,,,,,,,,,,,,,,,,,,,,,,
1,292,184,0,0,,,,,,,,,,,,,,,,,,,,,,
1,295,184,0,0,,,,,,,,,,,,,,,,,,,,,,
1,298,184,0,0,,,,,,,,,,,,,,,,,,,,,,
1,301,184,0,0,,,,,,,,,,,,,,,,,,,,,,
1,304,185,0,0,,,,,,,,,,,,,,,,,,,,,,
1,307,185,0,0,,,,,,,,,,,,,,,,,,,,,,
1,310,185,0,0,,,,,,,,,,,,,,,,,,,,,,
1,313,185,0,0,,,,,,,,,,,,,,,,,,,,,,
1,316,185,0,0,,,,,,,,,,,,,,,,,,,,,,
1,319,185,0,0,,,,,,,,,,,,,,,,,,,,,,
1,322,186,0,0,,,,,,,,,,,,,,,,,,,,,,
1,325,186,0,0,,,,,,,,,,,,,,,,,,,,,,
1,328,186,0,0,,,,,,,,,,,,,,,,,,,,,,
1,331,186,0,0,,,,,,,,,,,,,,,,,,,,,,
1,334,186,0,0,,,,,,,,,,,,,,,,,,,,,,
1,337,186,0,0,,,,,,,,,,,,,,,,,,,,,,
1,340,187,0,0,,,,,,,,,,,,,,,,,,,,,,
1,343,187,0,0,,,,,,,,,,,,,,,,,,,,,,
1,346,187,0,0,,,,,,,,,,,,,,,,,,,,,,
1,349,187,0,0,,,,,,,,,,,,,,,,,,,,,,
1,352,188,0,0,,,,,,,,,,,,,,,,,,,,,,
1,355,190,0,0,,,,,,,,,,,,,,,,,,,,,,
1,358,190,0,0,,,,,,,,,,,,,,,,,,,,,,
1,361,190,0,0,,,,,,,,,,,,,,,,,,,,,,
1,364,190,0,0,,,,,,,,,,,,,,,,,,,,,,
1,367,190,0,0,,,,,,,,,,,,,,,,,,,,,,
1,370,190,0,0,,,,,,,,,,,,,,,,,,,,,,
1,373,191,0,0,,,,,,,,,,,,,,,,,,,,,,
1,376,191,0,0,,,,,,,,,,,,,,,,,,,,,,
1,379,191,0,0,,,,,,,,,,,,,,,,,,,,,,
1,382,191,0,0,,,,,,,,,,,,,,,,,,,,,,
1,385,191,0,0,,,,,,,,,,,,,,,,,,,,,,
1,388,192,0,0,,,,,,,,,,,,,,,,,,,,,,
1,391,192,0,0,,,,,,,,,,,,,,,,,,,,,,
1,394,192,0,0,,,,,,,,,,,,,,,,,,,,,,
1,397,192,0,0,,,,,,,,,,,,,,,,,,,,,,
1,400,192,0,0,,,,,,,,,,,,,,,,,,,,,,
1,403,193,0,0,,,,,,,,,,,,,,,,,,,,,,
1,406,193,0,0,,,,,,,,,,,,,,,,,,,,,,
1,409,193,0,0,,,,,,,,,,,,,,,,,,,,,,
1,412,194,0,0,,,,,,,,,,,,,,,,,,,,,,
1,415,194,0,0,,,,,,,,,,,,,,,,,,,,,,
1,418,195,0,0,,,,,,,,,,,,,,,,,,,,,,
1,421,195,0,0,,,,,,,,,,,,,,,,,,,,,,
1,424,195,0,0,,,,,,,,,,,,,,,,,,,,,,
1,427,195,0,0,,,,,,,,,,,,,,,,,,,,,,
1,430,195,0,0,,,,,,,,,,,,,,,,,,,,,,
1,433,196,0,0,,,,,,,,,,,,,,,,,,,,,,
1,436,196,0,0,,,,,,,,,,,,,,,,,,,,,,
1,439,196,0,0,,,,,,,,,,,,,,,,,,,,,,
1,442,196,0,0,,,,,,,,,,,,,,,,,,,,,,
1,445,196,0,0,,,,,,,,,,,,,,,,,,,,,,
1,448,197,0,0,,,,,,,,,,,,,,,,,,,,,,
1,451,197,0,0,,,,,,,,,,,,,,,,,,,,,,
1,454,197,0,0,,,,,,,,,,,,,,,,,,,,,,
1,457,197,0,0,,,,,,,,,,,,,,,,,,,,,,
1,460,198,0,0,,,,,,,,,,,,,,,,,,,,,,
